Station NAME,City,Address,Latitude,Longitude,Services,Operating Hours,Product98,Productgas,Producturea,Iselectric,Car_wash,Store
Country at,Beer Sheva,Ilan Ramon 37,31.2556527,34.7578285,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Kadesh Barnea,Copies,Lot 102,30.901775,34.451916,"Orea, App, Disabled,",No Joe Store,False,False,True,False,False,False
Esther cinema,Ashkelon,Resurrection Givat Zion 30,31.655796,34.58432,"Joe, App, Minta, Disabled,",24/5,False,False,False,False,False,True
Clausner (Ramla),Ramla,Clausner 16,31.92255,34.87719,"App, disabled,",No Joe Store,False,False,False,False,False,False
Keniel,Petah Tikva,Moshe Dayan 14,32.09492,34.86245,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Castel,Mevaseret Zion,Hatzavim Boulevard,31.79099,35.14243,"Market, Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Kaplan,Ramla,Corner Moshe Aderet and Scout,31.932494,34.889269,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
harvesting,Appeal,Katzir junction in a wire,32.49207,35.08122,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Katzrin,Katzrin,Katzrin Industrial Area,32.985699,35.707353,"Joe, Orea, App, Minta, Disabled, Energy,",24/7,False,False,True,False,False,True
New Gat Kiryat,Kiryat Gat,Through the South 7,31.60349,34.77336,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Kiryat Haim,Haifa,Degania Blvd 5,32.826747,35.060817,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Kiryat Malachi,Kiryat Malachi,Packer 1,31.73391,34.75743,"Joe, Orea, App, Minta, Disabled,",06: 00-2: 00,False,False,True,False,False,True
Kiryat Moses,Streets,The piece 4,31.887195,34.779815,"Joe, App, Minta, Disabled,",07: 00-19: 00,False,False,False,False,False,True
Kiryat Makhon,Kiryat Matan,Blvdat Yitzhak Rabin,31.8587,34.8169,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Kiryat Shmona,Kiryat Shmona,Tel Hai 81,33.206274,35.569389,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Kiryat Ata,Kiryat Ata,Through Haifa 43,32.807073,35.072966,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Rosh Pina,Rosh Pina,A commercial center,32.96781,35.548694,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
pharmacist,Tel Aviv Jaffa,Pharmacist Boulevard,32.10505,34.81186,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
level,Ramat Gan,Jabotinsky 67,32.0867501,34.8115798,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Levels,Golan,Ramat Ramot Session,32.861574,35.65135,"Disabled,",No Joe Store,False,False,False,False,False,False
Nazareth Ramsey,Nazareth,Nazareth -bypass road Nazareth No. 3001,32.6903181,35.2921356,"Joe, App, Minta, Disabled,",06: 00-2: 00,False,False,False,False,False,True
Spring level,Tel Aviv Jaffa,Via Namir 170,32.105103,34.79271,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Ramat Hasharon,Ramat Hasharon,Through Moshe Sena 210,32.13204,34.83246,"Market, Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Ramat Yishai,Ramat Yishai,The cedar,32.7066,35.172167,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Ramat Yishai Bilia,Ramat Yishai,Eucalyptus 4,32.70705,35.17407,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Ramps,Hod Hasharon,Through Ramatim 89,32.151186,34.894384,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Random,A lion's house,(Rentis Junction Route 446 (House of Lion,32.034797,35.012909,"Market, Joe, Minta, Disabled,",06: 00-2: 00,False,False,False,False,False,True
Shajor,Beit Hakerem Valley,Conducting Deir to Assad,32.92738,35.27598,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
The seven stars,Herzliya,Joseph Nebo (in front of the Seven Star Mall),32.16363,34.82238,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
A morning field,A morning field,Ben -Gurion Midrash,30.874221,34.786327,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Sde Nahum,Springs Valley,Road 71 Entrance to Nahum field,32.520796,35.484028,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Uzia field,Beer Tuvia,At the entrance to Sde Uzia Moshav,31.7611,34.66884,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Commons (debut),Springs Valley,Donation Field Seat (Route 90),32.44838,35.48304,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
President Boulevard,Haifa,President 34,32.812728,34.980575,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Sheba,Ramat Gan,Tel Hashomer Hospital,32.04823,34.84067,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Employee housing,Beer Sheva,Eliyahu Naoi (adjacent to seventh avenue big),31.243364,34.809089,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Shlomi,Shlomi,A,33.075631,35.141085,"Joe, App, Minta, Disabled,",06: 00-2: 00,False,False,False,False,False,True
Shankar,Petah Tikva,Shankar 8,32.0942,34.85549,"Joe, App, Minta, Disabled,",06: 00-20: 00,False,False,False,False,False,True
Safed gates,Safed,The third Battalion St.,32.970781,35.504504,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
First gates,Rishon Lezion,Tulipman 1,31.983244,34.810579,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Holon's hair,Holon,Levi Eshkol Boulevard 30,32.03291,34.77497,"Orea, Disabled,",No Joe Store,False,False,True,False,False,False
Gates,Streets,Herzl 68,31.885131,34.815447,"Market, Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Sheep,Hasharon Beach,Shafi Shopping Complex,32.22033,34.82883,"Joe, App, Minta, Disabled,",08: 00-21: 00,False,False,False,False,False,True
Benign,"Benign interchange, fast lane car park standards",The fast -paced route shopping mall,32.00161,34.84342,"Joe, Minta, Disabled,",07: 00-19: 00,False,False,False,False,False,True
Central Station Beersheba (Army),Beer Sheva,Through David wise (Central Station Beer Sheva),31.24444,34.79592,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Tel -Isaac,Hasharon Beach,Entrance to Kibbutz Tel Yitzhak,32.254129,34.872123,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Tel Hanan,Haifa,Bar Yehuda 138,32.773333,35.044518,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Tel Shuk,Sons of Shimon,A trough intersection,31.30518,34.89899,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Ptolemy Negev,The Negev Gate,In the southern exit of Sderot,31.51496,34.59689,"Joe, Orea, App, Minta, Disabled,",07: 00-22: 00,False,False,True,False,False,True
Talpiot,Jerusalem,Dov Gruner 1,31.752,35.234094,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
