Station NAME,Services,Latitude,Longitude,Address,Product98,Productgas,Producturea,Iselectric,Car_wash,Store
Ramat Gan Abba Hillel,"Fuel 98, oak, car washing",32.08496,34.8034,"11 Abba Hillel St., Ramat Gan",True,False,False,False,True,False
Ramat Hasharon,,32.12773864,34.85906468,The 18th -Ramat Hasharon factory,False,False,False,False,False,False
Ra'anana Renanim,"Oak, electric charging",32.19659178,34.87631098,Renans 5 Raanana,False,False,False,True,False,False
Rakefet Rakefet,,32.19849,34.88256,Zarahin 26 Daphne Corner A. Raanana,False,False,False,False,False,False
Segev Shalom,"Uriah, oak",31.22073116,34.8461859,Dimona Road Beer Sheva at the entrance to Segev Shalom,False,False,True,False,False,False
SD HEAD,"Fuel 98, urea, gas, oak, car washing, electrical charging",32.15574253,34.94702092,"On Route 444 at the entrance to Moshav Shadi Hamad, near Gijulia and a Junction",True,False,True,True,True,False
SD HEARD MUST,In the kibbutz and in the seat,32.155586410829,34.94707788437,On Route 444 in the seat of Dedi Hamed,False,False,False,False,False,False
Shuft,,31.814154,35.229716,Shuft 13,False,False,False,False,False,False
Shimron,"Uriah, oak",32.71340961,35.21298897,"Nahalal-Givat Ella, Zarzir House",False,False,True,False,False,False
The North Gate,"Fuel 98, urea, gas, mini super oak",32.806367,35.074341,Through Haifa 52 Kiryat Ata Junction,True,False,True,False,False,True
Shfaram,Urea,32.79812,35.18143,Shfaram Industrial Area Street,False,False,True,False,False,False
Shfaram Canyon,,32.81732,35.15199,TD 386 Kfar Country 24963,False,False,False,False,False,False
Tidhar,"Urea, mini super oak",31.377,34.61955,"Moshav Tidhar, Road 25",False,False,True,False,False,True
Tel Aviv Dizengoff,Oak,32.07773,34.77187,Luria 8 Tel Aviv,False,False,False,False,False,False
Tel Aviv via Namir,"Fuel 98, urea, mini super oak, car washing",32.1315833,34.795865,Via Namir 301 Tel Aviv,True,False,True,False,True,True
Tel Aviv through Solomon,"Oak, car washing",32.05501,34.76553,Solomon 37 Tel Aviv,False,False,False,False,True,False
Tel Aviv Lost,"Fuel 98, mini oak",32.06251901,34.78576183,Lost 24 Tel Aviv (entrance from Wall and Tower),True,False,False,False,False,True
Tel Aviv SEO,A super aloni mini,32.085,34.7699,Hayarkon 65 Tel Aviv,False,False,False,False,False,True
Tel Aviv Levinsky,,32.05805,34.77659,"Levinsky 84 Tel Aviv, near the old Central Station",False,False,False,False,False,False
Tel Yitzhak,"Fuel 98, urea, gas, mini oak, car washing, electrical charging",32.25497,34.87504,At the entrance to Kibbutz Tel Yitzhak between the Bnei Dror junction and the Poleg junction,True,False,True,True,True,True
Tel Monde,A super aloni mini,32.24821,34.91443,,False,False,False,False,False,True
Tefen,Oak,32.98381704,35.28042057,A.Tefen toward Kfar Vradim,False,False,False,False,False,False
Tarshiha of a season,"Urea, gas, oak",33.0177043,35.2627682,At the entrance to the Tarshiha,False,False,True,False,False,False
