name,Address,city,latitude,Longitude,working_hours,petrol98,Productgas,Producturea,electric_charge,car_wash,convenient_store
Samaria Pearl,Karni Samaria (chair),Karni Samaria,32.17926,35.102953,Closed on Saturday,False,False,True,False,False,True
A wolf summit,Moshe Dane- Pisgat Wolf,Jerusalem,31.8253728,35.2388003,Closed on Saturday,False,False,False,False,False,True
Peki'in,Entrance to the House-Rama Junction,New Peki'in,32.993475,35.313071,24/7,True,False,False,False,False,True
Pardes Hanna,Handyv St.,Pardes Hanna-Karkur,32.4817887,34.9730711,Unknown,False,False,False,False,False,False
Parshmarket regional TA Tel Aviv,Uri Zvi Greenberg 25,Tel Aviv,32.1303052,34.7924311,Unknown,False,False,False,False,False,False
Rashmmarket Galilee Sea Herzliya,Kibbutz Galilee Sea,Sea roll,32.1592005,34.8337647,Unknown,False,False,False,False,False,False
The generous Rashmuda Herzliya,The generous 71,Herzliya,32.1705814,34.8316693,Unknown,False,False,False,False,False,False
President President Raanana,Presidents 47,Raanana,32.1914077,34.8632884,Unknown,False,False,False,False,False,False
A Jewish Parshmarket,Weizman 21,Jewish,32.0309969,34.8923509,Unknown,False,False,False,False,False,False
Parshmarket Merom Neve RG,Haim Landau 7,Ramat Gan,32.0716561,34.828074,Unknown,False,False,False,False,False,False
Rishmarket Rishon Lezor Ein Dor,Eye Generation 6,Rishon Lezion,31.9685617,34.8240311,Unknown,False,False,False,False,False,False
Ramat Spring,Einstein 58,Tel Aviv,32.1130411,34.7987204,Unknown,False,False,False,False,False,False
Petah Tikva City,Jabotinsky 6,Petah Tikva,32.0902523,34.8798555,24/7,False,False,False,False,False,True
Petah Tikva North,Hayarkons 2,Petah Tikva,32.0973019,34.8961664,Closed on Saturday,False,False,False,False,False,True
Sabra,Through Jerusalem 8,area,32.030091,34.794264,24/7,False,True,False,True,True,True
The goddess of the goddess,Beit Shemesh Road - Yam,Jerusalem,31.6859286,34.9471356,24/7,True,False,False,True,False,True
Eagles node,Through Bar Yehuda 89,eagle,32.7730965,35.0456373,Unknown,False,False,False,False,False,False
A power junction,Route 90 with Route 899,Kiryat Shmona,33.12442,35.57012,24/7,True,True,True,False,True,True
Netanya Junction,Haifa Road Tel Aviv at Netanya Junction North,Netanya,32.3208117,34.8660988,24/7,True,False,True,False,False,True
Ram junction,Road 3 junction with Route 40 (Masmia Junction Kiryat Malachi),Kiryat Malachi,31.7615899,34.7857574,Closed on Saturday,False,False,False,False,False,True
plant,Junction Junction Jordan,Tiberia,32.704136,35.586087,24/7,True,True,True,True,False,True
Safed,Through Independence in front of Central Station Egged,Safed,32.96922,35.4974593,Closed on Saturday,False,False,False,False,False,True
forward,Road 4 after Kadima Junction (toward north),forward,32.2873498,34.8980148,24/7,True,False,True,True,True,True
Koop Ramla,Jerusalem Blvd,Ramla,31.9376942,34.8859655,24/7,False,False,False,True,False,True
Kibbutz Postcards,Kibbutz Postcards 100,Tel Aviv - Jaffa,32.0483131,34.7766348,24/7,True,False,False,False,False,True
Kate and recreation,Fliman Street Corner in front of Haifa Mall (MK),Haifa,32.7908834,34.9641925,24/7,True,False,False,False,False,True
Caesarea,The coastal road,Caesarea,32.4759125,34.8941038,24/7,True,False,False,True,True,True
Katzrin,No. 4,Katzrin,32.98694,35.71073,24/7,False,False,True,False,False,True
Kiryat Sharet,The orgas 6,Holon,32.011301,34.7986696,24/7,False,False,False,False,True,True
Kiryat Ono,Levi Eshkol 23,Kiryat Ono,32.0632889,34.8619585,24/7,False,False,False,False,False,False
New Kiryat Four,Road 60 at the entrance to Kiryat Four,Kiryat Four,31.542827,35.132228,Closed on Saturday,False,False,True,False,True,True
Kiryat Arya,The piece 8,Petah Tikva,32.0946434,34.8500112,Closed on Saturday,False,False,False,False,True,True
Kiryat Ata,Through fertilizers 18 Western entry into Kiryat Ata,Kiryat Ata,32.8046802,35.075422,24/7,False,False,False,False,False,True
Kiryat Bialik,Through Acre Haifa A. Kiryat Bialik toward the north,Kiryat Bialik,32.8680631,35.0961791,24/7,False,False,True,True,False,True
Kiryat Gat,South Boulevard 3,Kiryat Gat,31.6039349,34.7751348,Closed on Saturday,False,False,True,True,True,True
Crimea Kiryat,Through Building Workers 8,Beer Sheva,31.2472663,34.8042915,24/7,False,False,False,True,False,True
Kiryat Malachi,IDF,Kiryat Malachi,31.7310135,34.7537268,Closed on Saturday,False,False,False,False,False,True
Kiryat Menachem,Via Henrietta Sald,Jerusalem,31.760549,35.169769,24/7,False,False,False,False,False,False
Kiryat Matan,King Hassan II III in principle,Kiryat Makhon,31.8601868,34.8107521,24/7,True,False,False,True,True,True
Kiryat Shmona,Tel Hai Boulevard,Kiryat Shmona,33.2027461,35.5690755,24/7,True,False,True,False,False,True
Rosh Ha'ayan Afek,ALCRAFUS 1,Kafr Qasem,32.1091428,34.9624273,24/7,True,False,True,False,True,False
Rosh Pina,Through the Galilee near Rosh Pina Police Station,Rosh Pina,32.9706019,35.5498906,24/7,False,False,False,True,False,True
Romema,Through Pika Ruppin Junction,Haifa,32.786412,34.9981735,24/7,False,False,False,True,False,False
Ronit,Road # 2 - Coast Road Exit from Herzliya to Tel Aviv,Herzliya,32.1566879,34.8083457,24/7,True,False,True,False,False,True
Rockefeller,Rockefeller East Jerusalem Museum,Jerusalem,31.783721,35.237588,Unknown,False,False,False,False,False,False
Level Rehovot,Herzl 41,Streets,31.885381,34.814749,24/7,True,False,False,True,False,False
Ramat Gan,Jabotinsky 66,Ramat Gan,32.0864204,34.812094,Unknown,True,False,False,True,False,True
Levels,Harfshot-Golda Meir Blos,Jerusalem,31.7998246,35.2115957,Unknown,True,False,False,False,False,False
A great rimella,Herzl 117,Ramla,31.9242447,34.8786855,Unknown,False,False,False,False,False,False
A small rimella,Herzl 89,Ramla,31.9247294,34.8776106,Closed on Saturday,False,False,False,False,False,True
A cluster level,Faran 5,Jerusalem,31.8012054,35.2276064,Closed on Saturday,False,False,False,False,False,True
Danya level,Golomb,Jerusalem,31.7582324,35.1814707,24/7,True,False,False,True,True,False
Hobbean level,Road in Sde Ramat Hovav resources,Hobbean level,31.1043592,34.8243851,Unknown,False,False,True,False,False,False
Reshef,Saadia Gaon 24,Tel Aviv - Jaffa,32.0678886,34.7829133,Closed on Saturday,False,False,False,False,False,True
Reshef will build,The Sandrine (through the sea),Will build,31.8874733,34.7370652,24/7,True,False,False,True,False,True
Sderot,The new AT-Sderot,Sderot,31.5240118,34.6062429,24/7,False,False,True,True,False,True
Ben Zvi Boulevard,Ben Zvi Demon 46,Tel Aviv - Jaffa,32.0466846,34.7660649,24/7,True,False,False,False,True,True
Showa,Tel Aviv-Jerusalem Root Junction,Showa,31.7988689,35.0758689,24/7,True,True,True,True,False,True
onyx,Grenade street,onyx,32.00632,34.9607,24/7,False,False,True,False,True,True
trough,Kibbutz Lahav Donance Junction,blade,31.3096317,34.8986347,24/7,True,True,True,True,False,True
Masturbation,Hayarkons at the entrance to the Baptist village,Petah Tikva,32.1160698,34.904362,24/7,True,False,True,True,False,True
Sims,Bialik Corner Electric Samson neighborhood,Ashkelon,31.6605591,34.5699346,Unknown,True,False,True,False,True,False
The ravine gate,The Guy Gate interchange,Jerusalem,31.8157253,35.0241193,24/7,True,False,False,True,False,True
Hasharon Gate,Taibeh Junction Route 444,Taibeh,32.2808478,35.0053699,Unknown,True,False,False,False,False,False
Shfaram South,Wadi I will crave a southern exit to Shfaram,Shfaram,32.7982012,35.1705444,24/7,False,False,False,True,False,True
Shfaram City,At the entrance to Shfaram to the west,Shfaram,32.8116038,35.1627453,24/7,False,False,False,False,False,True
Sharon,Ben Yehuda in front of a Bar-Heart Media,Kfar Saba,32.1851914,34.9165706,24/7,True,True,False,True,False,True
Jerusalem Museum Station,Israel Museum Parking,Jerusalem,31.774316,35.201434,24/7,True,False,True,False,False,True
Tel Seven,At the entrance to Tel Seven,Tel Seven,31.2476778,34.8468164,24/7,False,False,False,False,False,False
Talpiot,Talpiot Industrial Area,Jerusalem,31.749567,35.2109173,Closed on Saturday,False,False,False,True,False,True
Tamara,Shfaram Road - Ahihud Iblin,Tamra,32.8429607,35.1641136,Unknown,False,False,True,False,True,True
Ties,Route 57 at the entrance to Moshav Tnuvot,Ties,32.3134812,34.9642155,Unknown,False,False,False,True,False,False
Will,A road road,Afula,32.5834979,35.2439415,24/7,True,True,False,True,False,True
